16	Harry Potter, Harry Potter and the Chamber of Secrets	J.K. Rowling	https://getfreestories.weebly.com/uploads/7/9/0/2/79020522/harry_potter_and_the_chamber_of_-_j.k._rowling.pdf http://hpread.scholastic.com/HP_Book2_Chapter_Excerpt.pdf http://hpread.scholastic.com/HP_Book2_Discussion_Guide.pdf
17	The Mortal Instruments, City of Bones	Cassandra Clare	http://www.ebooksmadefree.weebly.com/uploads/5/4/8/2/54824347/cassandra_clare_-_mortal_instruments_01_-_city_of_bones.pdf http://ads.baa.uk.com/ads_B003Z0BWRM_city_of_bones_the_mortal_instruments_book_1_engli.pdf http://ads.baa.uk.com/ads_1406307629_the_mortal_instruments_1_city_of_bones_mortal_ins.pdf
18	Chronicles of Narnia, The Lion, the Witch and the Wardrobe	C.S. Lewis	http://www.samizdat.qc.ca/arts/lit/PDFs/LionWitchWardrobe_CSL.pdf https://s3.amazonaws.com/scschoolfiles/112/thechroniclesofnarnia.pdf http://www.cslewis.org/resources/studyguides/LWW%20study%20guide.pdf
19	The Elephant Tree	R.D. Ronald	http://qa.unthsc.edu/the_elephant_tree_rd_ronald.pdf http://gbvims.zamstats.gov.zm/the-elephant-tree-rd-ronald.pdf http://ac.dbmi.hms.harvard.edu/the_elephant_tree_rd_ronald.pdf
20	Harry Potter, Harry Potter and the Order of the Phoenix	J.K. Rowling	https://www.missskirtich.com/uploads/2/3/3/7/23374820/5_-_harry_potter_and_the_order_of_the_phoenix_chapter_37.pdf http://hpread.scholastic.com/HP_Book5_Chapter_Excerpt.pdf http://hpread.scholastic.com/HP_Book5_Discussion_Guide.pdf
21	The Diary of a Young Girl	Anne Frank	http://www.cbseacademic.nic.in/web_material/doc/novels/3_The%20Diary%20of%20a%20Young%20Girl.pdf https://www.pearson.ch/download/restricted/PRANSWERKEYS/9781408294277_TN_Diary-of-a-Young-Girl-Anne-Frank.pdf https://ncert.nic.in/ncerts/l/jeff104.pdf
22	Harry Potter, Harry Potter and the Goblet of Fire	J.K. Rowling	https://mcqueenglish.weebly.com/uploads/3/2/2/6/32260387/harry_potter_and_the_goblet_of_fire.pdf http://www.apsmhow.org/Library%20Portal/index_htm_files/Harry%20Potter%20and%20the%20%20GOBLET%20OF%20FIRE.pdf http://www.ftik.usm.ac.id/C3BC63C/amz-1408855682-harry-potter-and-the-goblet-of-fire-harry-potter.pdf
23	The Host	Stephenie Meyer	https://www.stepheniemeyer.com/pdf/thehost_chapter4.pdf https://junefevers.files.wordpress.com/2011/07/the-host-stephenie-meyer.pdf http://epublications.uef.fi/pub/urn_nbn_fi_uef-20190724/urn_nbn_fi_uef-20190724.pdf
24	Harry Potter, Harry Potter and the Half-Blood Prince	J.K. Rowling	http://kidsspark.weebly.com/uploads/5/0/6/5/50658543/06_harry_potter_and_the_half-blood_prince_-_j.k._rowling.pdf http://hpread.scholastic.com/HP_Book6_Discussion_Guide.pdf http://www.amscopub.com/products/pdfs/e_tr/71311.HPHBLD.pdf
25	The Zombie Room	R.D. Ronald	http://www.neonlinemagazine.com/Issues/NE01/files/assets/downloads/page0023.pdf http://www.wisel.it/the_zombie_room_rd_ronald.pdf http://gbvims.zamstats.gov.zm/the-zombie-room-rd-ronald.pdf
26	Robert Langdon, The Da Vinci Code	Dan Brown	https://www.husd.org/cms/lib/AZ01001450/Centricity/Domain/2781/ReadingGroupGuides.com%20-%20The%20Da%20Vinci%20Code.pdf https://danbrown.com/wp-content/themes/danbrown/assets/db_dvc_book_excerpts.pdf http://ads.baa.uk.com/ads_552159719_the_da_vinci_code_robert_langdon_book_2.pdf
27	Jane Eyre	Charlotte Brontë	https://www.planetebook.com/free-ebooks/jane-eyre.pdf http://www.open.edu/openlearn/sites/www.open.edu.openlearn/files/an_introduction_to_charlotte_brontes_jane_eyre.pdf https://www.diva-portal.org/smash/get/diva2:511845/fulltext01.pdf
28	Little Women	Louisa May Alcott	https://www.planetebook.com/free-ebooks/little-women.pdf https://www.jstor.org/stable/pdf/25115246.pdf https://media.neliti.com/media/publications/192041-EN-book-review-on-louisa-may-alcotts-little.pdf
29	Vampire Academy, Vampire Academy	Richelle Mead	https://www.penguin.com/static/packages/us/yreaders/vampireacademy/images/VampireAcademySAMPLER.pdf http://testsrs.ucsf.edu/vampire.academy.vampire.academy.book.1.pdf http://ftp.ngcareers.com/vampire_academy_book_1_richelle_mead.pdf
30	The Lord of the Rings (The Lord of the Rings, #1-3)	J.R.R. Tolkien	http://gbvims.zamstats.gov.zm/the-lord-of-rings-1-3-jrr-tolkien.pdf http://www.ftik.usm.ac.id/A699092/amz-261102389-the-lord-of-the-rings.pdf http://www.infoelbasani.al/b002ri9176-the-lord-of-the-rings-the-fellowship-of-the-ring-the-two-towers-the-return-of-the-king-english-edition.pdf
31	The Kite Runner	Khaled Hosseini	https://www.bccls.org/BookClubBooks/KiteRunner.pdf https://www.oasisacademysouthbank.org/uploaded/South_Bank/Curriculum/Student_Learning/Online_Library/KS4/The_Kite_Runner_by_Khaled_Hosseini.pdf https://www.penguin.com/static/pdf/teachersguides/kiterunnertg0110a.pdf
32	1984	George Orwell	https://www.planetebook.com/free-ebooks/1984.pdf https://cpb-us-e1.wpmucdn.com/blogs.yis.ac.jp/dist/2/1005/files/2015/11/1984_-_an_introduction_to_george_orwell-25wsivt.pdf http://www.wjccschools.org/wp-content/uploads/sites/2/2017/02/1984-Gale-Novels-for-Students.pdf
33	The Great Gatsby	F. Scott Fitzgerald	https://www.planetebook.com/free-ebooks/the-great-gatsby.pdf https://www.arts.gov/sites/default/files/ReaderResources-GreatGatsby.pdf https://cpb-us-w2.wpmucdn.com/sacschoolblogs.org/dist/8/25/files/2016/10/TheGreatGatsby-1czsk60.pdf
